"";"Station";"sum";"Latitude";"Longitude"
"465";6282;4463;42,05028;-76,8326
"466";6282;4482;42,05028;-76,8326
"467";6282;4657;42,05028;-76,8326
"468";6282;4643;42,05028;-76,8326
"469";6282;4185;42,05028;-76,8326
"470";6282;4114;42,05028;-76,8326
"471";6282;3989;42,05028;-76,8326
"472";6282;4037;42,05028;-76,8326
"473";6282;3709;42,05028;-76,8326
"474";6282;3745;42,05028;-76,8326
"475";6282;2705;42,05028;-76,8326
"476";6282;2626;42,05028;-76,8326
"477";6282;3687;42,05028;-76,8326
"478";6282;3721;42,05028;-76,8326
"479";6282;3855;42,05028;-76,8326
"480";6282;3876;42,05028;-76,8326
"481";6282;4098;42,05028;-76,8326
"482";6282;4045;42,05028;-76,8326
"483";6282;4205;42,05028;-76,8326
"484";6282;4077;42,05028;-76,8326
"485";6282;4268;42,05028;-76,8326
"486";6282;4282;42,05028;-76,8326
"487";6282;4386;42,05028;-76,8326
"488";6282;4285;42,05028;-76,8326
"489";6282;3922;42,05028;-76,8326
"490";6282;3925;42,05028;-76,8326
"491";6282;4009;42,05028;-76,8326
"492";6282;3972;42,05028;-76,8326
"493";6282;4126;42,05028;-76,8326
"494";6282;4123;42,05028;-76,8326
"495";6282;4343;42,05028;-76,8326
"496";6282;4342;42,05028;-76,8326
"497";6282;4537;42,05028;-76,8326
"498";6282;4516;42,05028;-76,8326
"499";6282;3974;42,05028;-76,8326
"500";6282;3986;42,05028;-76,8326
"501";6282;3672;42,05028;-76,8326
"502";6282;3682;42,05028;-76,8326
"503";6282;4238;42,05028;-76,8326
"504";6282;4213;42,05028;-76,8326
"505";6282;4364;42,05028;-76,8326
"506";6282;4351;42,05028;-76,8326
"507";6282;4573;42,05028;-76,8326
"508";6282;4564;42,05028;-76,8326
"509";6282;4170;42,05028;-76,8326
"510";6282;4056;42,05028;-76,8326
"511";6282;3735;42,05028;-76,8326
"512";6282;3501;42,05028;-76,8326
"513";6282;2278;42,05028;-76,8326
"514";6282;2264;42,05028;-76,8326
"515";6282;3348;42,05028;-76,8326
"516";6282;3350;42,05028;-76,8326
"517";6282;3787;42,05028;-76,8326
"518";6282;3780;42,05028;-76,8326
"519";6282;3550;42,05028;-76,8326
"520";6282;3355;42,05028;-76,8326
"521";6282;3800;42,05028;-76,8326
"522";6282;3693;42,05028;-76,8326
"523";6340;879;42,44364;-76,9079
"524";6340;1006;42,44364;-76,9079
"525";6340;1303;42,44364;-76,9079
"526";6340;1409;42,44364;-76,9079
"527";6340;1361;42,44364;-76,9079
"528";6340;1353;42,44364;-76,9079
"529";6340;1539;42,44364;-76,9079
"530";6340;1491;42,44364;-76,9079
"531";6340;1241;42,44364;-76,9079
"532";6340;1298;42,44364;-76,9079
"533";6340;1372;42,44364;-76,9079
"534";6340;1365;42,44364;-76,9079
"535";6340;1413;42,44364;-76,9079
"536";6340;1404;42,44364;-76,9079
"537";6340;1417;42,44364;-76,9079
"538";6340;1452;42,44364;-76,9079
"539";6340;1600;42,44364;-76,9079
"540";6340;1535;42,44364;-76,9079
"541";6340;1287;42,44364;-76,9079
"542";6340;1367;42,44364;-76,9079
"543";6340;1400;42,44364;-76,9079
"544";6340;1377;42,44364;-76,9079
"545";6340;1337;42,44364;-76,9079
"546";6340;1336;42,44364;-76,9079
"547";6340;1382;42,44364;-76,9079
"548";6340;1335;42,44364;-76,9079
"549";6340;1647;42,44364;-76,9079
"550";6340;1554;42,44364;-76,9079
"551";6340;1304;42,44364;-76,9079
"552";6340;1359;42,44364;-76,9079
"553";6340;1336;42,44364;-76,9079
"554";6340;1294;42,44364;-76,9079
"555";6340;1237;42,44364;-76,9079
